"section","keyword","count"
"http://essi-lod.org/instances/Section_FM_2009_IN","Remote sensing","112"
"http://essi-lod.org/instances/Section_FM_2008_IN","Data management","96"
"http://essi-lod.org/instances/Section_FM_2008_IN","Remote sensing","80"
"http://essi-lod.org/instances/Section_FM_2006_IN","Data management","77"
"http://essi-lod.org/instances/Section_FM_2008_IN","Instruments and techniques","76"
"http://essi-lod.org/instances/Section_FM_2006_IN","Remote sensing","76"
"http://essi-lod.org/instances/Section_FM_2007_IN","Instruments and techniques","75"
"http://essi-lod.org/instances/Section_FM_2007_IN","Data management","71"
"http://essi-lod.org/instances/Section_FM_2007_IN","Techniques applicable in three or more fields","70"
"http://essi-lod.org/instances/Section_FM_2005_IN","Instruments and techniques","70"
"http://essi-lod.org/instances/Section_FM_2008_IN","Data presentation and visualization","67"
"http://essi-lod.org/instances/Section_FM_2006_IN","Instruments and techniques","66"
"http://essi-lod.org/instances/Section_FM_2008_IN","General or miscellaneous","63"
"http://essi-lod.org/instances/Section_FM_2008_IN","Techniques applicable in three or more fields","63"
"http://essi-lod.org/instances/Section_FM_2010_IN","Interoperability","61"
"http://essi-lod.org/instances/Section_FM_2005_IN","Data management","59"
"http://essi-lod.org/instances/Section_FM_2005_IN","Techniques applicable in three or more fields","56"
"http://essi-lod.org/instances/Section_FM_2006_IN","Data presentation and visualization","56"
"http://essi-lod.org/instances/Section_FM_2006_IN","General or miscellaneous","54"
"http://essi-lod.org/instances/Section_FM_2007_IN","Data presentation and visualization","53"
"http://essi-lod.org/instances/Section_FM_2005_IN","General or miscellaneous","52"
"http://essi-lod.org/instances/Section_FM_2007_IN","Remote sensing","51"
"http://essi-lod.org/instances/Section_FM_2005_IN","Remote sensing","50"
"http://essi-lod.org/instances/Section_FM_2010_IN","Software tools and services","50"
"http://essi-lod.org/instances/Section_FM_2009_IN","Data management, preservation, rescue","48"
"http://essi-lod.org/instances/Section_FM_2009_IN","Interoperability","46"
"http://essi-lod.org/instances/Section_FM_2009_IN","Software tools and services","46"
"http://essi-lod.org/instances/Section_FM_2010_IN","Cyberinfrastructure","45"
"http://essi-lod.org/instances/Section_FM_2007_IN","General or miscellaneous","44"
"http://essi-lod.org/instances/Section_FM_2009_IN","Cyberinfrastructure","44"
"http://essi-lod.org/instances/Section_FM_2009_IN","Data assimilation, integration and fusion","44"
"http://essi-lod.org/instances/Section_FM_2010_IN","Data and information discovery","44"
"http://essi-lod.org/instances/Section_FM_2010_IN","Data assimilation, integration and fusion","43"
"http://essi-lod.org/instances/Section_FM_2006_IN","Techniques applicable in three or more fields","42"
"http://essi-lod.org/instances/Section_FM_2005_IN","Data presentation and visualization","41"
"http://essi-lod.org/instances/Section_FM_2010_IN","Remote sensing","41"
"http://essi-lod.org/instances/Section_FM_2008_IN","Modeling","40"
"http://essi-lod.org/instances/Section_FM_2009_IN","Data and information discovery","39"
"http://essi-lod.org/instances/Section_FM_2010_IN","Web Services","39"
"http://essi-lod.org/instances/Section_FM_2009_IN","Instruments and techniques","38"
"http://essi-lod.org/instances/Section_FM_2009_IN","Virtual globes","38"
"http://essi-lod.org/instances/Section_FM_2008_IN","Data analysis: algorithms and implementation","38"
"http://essi-lod.org/instances/Section_FM_2010_IN","Modeling","37"
"http://essi-lod.org/instances/Section_FM_2010_IN","Data management, preservation, rescue","35"
"http://essi-lod.org/instances/Section_FM_2006_IN","Data analysis: algorithms and implementation","34"
"http://essi-lod.org/instances/Section_FM_2010_IN","Real-time and responsive information delivery","33"
"http://essi-lod.org/instances/Section_FM_2005_IN","New fields","32"
"http://essi-lod.org/instances/Section_FM_2009_IN","General or miscellaneous","32"
"http://essi-lod.org/instances/Section_FM_2006_IN","New fields","31"
"http://essi-lod.org/instances/Section_FM_2009_IN","Geospatial","29"
